Modelo,Combinación de Características,Puntaje R^2
RandomForestRegressor,"fixed acidity, chlorides, free sulfur dioxide, total sulfur dioxide, pH, alcohol",0.36526457814779845
RandomForestRegressor,"fixed acidity, chlorides, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol",0.36755629559694447
RandomForestRegressor,"fixed acidity, chlorides, free sulfur dioxide, density, pH, sulphates",0.3731674877692901
RandomForestRegressor,"fixed acidity, chlorides, free sulfur dioxide, density, pH, alcohol",0.3599269418933997
RandomForestRegressor,"fixed acidity, chlorides, free sulfur dioxide, density, sulphates, alcohol",0.3581268560638572
RandomForestRegressor,"fixed acidity, chlorides, free sulfur dioxide, pH, sulphates, alcohol",0.3967872285640718
RandomForestRegressor,"fixed acidity, chlorides, total sulfur dioxide, density, pH, sulphates",0.4283741481417904
RandomForestRegressor,"fixed acidity, chlorides, total sulfur dioxide, density, pH, alcohol",0.3463238520298687
RandomForestRegressor,"fixed acidity, chlorides, total sulfur dioxide, density, sulphates, alcohol",0.38581972362887307
RandomForestRegressor,"fixed acidity, chlorides, total sulfur dioxide, pH, sulphates, alcohol",0.39106837181357834
RandomForestRegressor,"fixed acidity, chlorides, density, pH, sulphates, alcohol",0.372264423654622
RandomForestRegressor,"fixed acidity, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates",0.4045517122993735
RandomForestRegressor,"fixed acidity, free sulfur dioxide, total sulfur dioxide, density, pH, alcohol",0.34074122392927664
